Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Annual brutto salary (without bonus and stocks) in EUR,Annual bonus + stocks in EUR,Annual Total Salary,One Year ago Brutto Salary,1 Year Ago Bonuses,1 Year Ago Total Salary,Number of vacation days,Company type
27,Male,Frankfurt,IT Manager,5,3,Middle,50400,0,50400,50400,0,50400,29,Product
27,Male,Krakow,QA Engineer,5,1,Senior,66000,0,66000,64000,0,64000,30,Product
27,Male,Berlin,Software Engineer,2,1,Lead,79000,10000,89000,77000,0,77000,27,Product
27,Male,Cologne,Software Engineer,1,1,Junior,150000,80000,230000,81000,4000,85000,24,Product
27,Male,Berlin,Backend Developer,8,3,Senior,50000,0,50000,40000,5000,45000,30,Product
27,Male,Munich,Software Engineer,8,4,Senior,55000,55000,110000,53000,53000,106000,30,Product
27,Male,Munich,Software Engineer,5,1,Senior,60000,65000,125000,57000,59000,116000,30,Product
27,Male,Berlin,Software Engineer,5,1,Senior,61000,63000,124000,58000,60000,118000,30,Product
27,Male,Frankfurt,Software Engineer,5,3,Middle,73700,80400,154100,67000,67000,134000,28,Product
27,Male,Berlin,DevOps,4,4,Middle,100000,100000,200000,80000,80000,160000,28,Product
27,Male,Amsterdam,ML Engineer,4,1,Middle,76000,10000,86000,69000,0,69000,27,Product
27,Male,Rome,Data Scientist,2,0,Junior,55000,0,55000,47000,0,47000,24,Product
27,Male,Munich,Software Engineer,2,5,Junior,70000,0,70000,64000,0,64000,24,Product
27,Male,Munich,QA Engineer,5,1,Senior,57750,0,57750,55000,0,55000,30,Product
27,Male,Berlin,DevOps,7,3.5,Senior,62000,0,62000,58000,600,58600,30,Startup
27,Male,Tuttlingen,Software Engineer,4,4,Junior,62000,3000,65000,62000,3000,65000,25,Startup
27,Male,Berlin,Data Engineer,0,0,Junior,75000,75000,150000,65000,65000,130000,24,Startup
27,Male,Munich,Software Engineer,5,1,Senior,110000,0,110000,90000,0,90000,30,Startup
28,Male,Berlin,ML Engineer,5,3,Middle,71060,101,71161,67500,101,67601,28,Biergarten 
28,Male,Munich,Backend Developer,5,4,Senior,65000,5000,70000,65000,5000,70000,30,Consulting 
28,Male,Karlsruhe,Backend Developer,7,3,Senior,92000,101,92101,85000,7000,92000,30,Consulting 
28,Male,Frankfurt,Mobile Developer,5,1,Senior,45000,45000,90000,45000,45000,90000,30,Consulting 
28,Male,Frankfurt,Frontend Developer,7,5,Senior,85000,10000,95000,80000,0,80000,30,Consulting 
28,Male,Berlin,Software Engineer,6,2,Senior,75000,0,75000,70000,0,70000,30,Consulting 
28,Male,Berlin,Fullstack Developer,6,6,Senior,50000,500,50500,42000,500,42500,45,Consulting and Product
28,Male,Munich,Backend Developer,6,5,Senior,80000,0,80000,75000,0,75000,30,Financial 
28,Male,Kyiv,Mobile Developer,5,0,Senior,20000,6500,26500,17000,3500,20500,30,Pharma
28,Male,Berlin,Software Engineer,6,2,Middle,75000,0,75000,73000,0,73000,27,Product
28,Male,Berlin,Data Scientist,4,4,Middle,94000,0,94000,92000,0,92000,28,Product
28,Male,Wolfsburg,Software Engineer,3,1,Middle,75000,0,75000,73000,0,73000,28,Product
28,Male,Berlin,Data Engineer,5,1,Middle,82000,0,82000,78000,0,78000,28,Product
28,Male,Berlin,Frontend Developer,5,5,Middle,88000,0,88000,80000,0,80000,28,Product
28,Male,Cologne,Backend Developer,4,4,Middle,80000,5000,85000,70000,5000,75000,28,Product
28,Male,Munich,Network Administrator,9,3,Senior,80000,6000,86000,78000,5000,83000,30,Product
28,Male,Munich,IT Manager,6,3,Middle,86000,0,86000,80000,5000,85000,28,Product
28,Male,Munich,Software Engineer,3,3,Junior,48000,10000,58000,41000,6000,47000,25,Product
28,Male,Munich,Mobile Developer,5,3,Senior,110000,7000,117000,110000,7000,117000,30,Product
28,Male,Berlin,Backend Developer,8,1,Lead,70000,20000,90000,70000,10000,80000,25,Product
28,Male,Stuttgart,Backend Developer,5,1.5,Middle,76000,20000,96000,760000,20000,780000,28,Product
28,Male,Berlin,SRE,6,1.5,Middle,36000,36000,72000,36000,36000,72000,28,Product
28,Male,Berlin,Data Engineer,7,3,Senior,72000,5000,77000,45000,45000,90000,30,Product
28,Male,Munich,Frontend Developer,5,5,Middle,77500,78000,155500,54000,54000,108000,28,Product
28,Male,Munich,Software Engineer,7,3,Middle,62000,70000,132000,54000,60000,114000,28,Product
28,Male,Zurich,Software Engineer,6,0,Middle,72000,85000,157000,65000,65000,130000,27,Product
28,Male,Berlin,Technical account manager ,4,2,Key,100000,18000,118000,140000,73000,213000,25,Product
28,Male,Berlin,Backend Developer,9,2,Senior,55000,5000,60000,42000,0,42000,30,Product
28,Male,Berlin,ML Engineer,1,1,Junior,50000,0,50000,42000,0,42000,24,Product
28,Male,Frankfurt,XR Developer,8,1,Lead,40700,0,40700,20000,0,20000,25,Product
