Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Annual brutto salary (without bonus and stocks) in EUR,Annual bonus + stocks in EUR,Annual Total Salary,One Year ago Brutto Salary,1 Year Ago Bonuses,1 Year Ago Total Salary,Number of vacation days,Company type
32,Female,Hamburg,Data Engineer,2,2,Junior,100000,0,100000,92000,7000,99000,24,Product
32,Female,Berlin,QA Engineer,10,4,Lead,54000,1000,55000,31000,31000,62000,27,Product
32,Female,Cologne,Data Scientist,4,4,Senior,62000,67000,129000,52000,58000,110000,30,Product
32,Female,Munich,It Consulting ,2,2,Junior,75000,0,75000,60000,60000,120000,24,Product
32,Female,Berlin,Software Engineer,6,4,Lead,75000,0,75000,75000,0,75000,25,Product
32,Female,Berlin,Software Engineer,2,2,Middle,67000,0,67000,62000,0,62000,28,Product
32,Female,Berlin,QA Engineer,10,1.5,Middle,62000,5000,67000,60000,5000,65000,28,Startup
32,Female,Berlin,DevOps,9,5,Middle,62000,0,62000,62000,0,62000,29,Startup
32,Female,Berlin,Mobile Developer,7,3,Senior,65000,0,65000,55000,0,55000,30,Startup
33,Female,Berlin,Software Engineer,6,3,Middle,72000,8000,80000,72000,8000,80000,28,Bank
33,Female,Munich,Testmanager,10,2,Junior,49850,500,50350,36000,0,36000,25,Consulting 
33,Female,Berlin,QA Engineer,8,1.5,Senior,50000,0,50000,50000,0,50000,30,Product
33,Female,Berlin,Data Scientist,8,4,Senior,57600,0,57600,51200,0,51200,30,Product
33,Female,Berlin,QA Engineer,9,2,Middle,72000,12,72012,65000,0,65000,27,Product
33,Female,Brunswick,Software Engineer,6,4,Middle,45000,0,45000,37000,0,37000,28,Product
33,Female,Berlin,Software Engineer,12,5,Senior,63000,0,63000,55000,0,55000,30,Product
33,Female,Munich,QA Engineer,6.5,3,Senior,90000,0,90000,80000,0,80000,30,Startup
33,Female,Munich,Software Engineer,10,3,Senior,82000,0,82000,78000,5000,83000,30,Startup
34,Female,Berlin,QA Engineer,6,2,Senior,76000,3000,79000,65000,10000,75000,30,Consulting 
